"Person ID","First name","Last name",Party,Constituency,URI
10001,Diane,Abbott,Labour,"Hackney North and Stoke Newington",https://www.theyworkforyou.com/mp/10001/diane_abbott/hackney_north_and_stoke_newington
10002,Gerry,Adams,"Sinn Féin","Belfast West",https://www.theyworkforyou.com/mp/10002/gerry_adams/belfast_west
24878,Nigel,Adams,Conservative,"Selby and Ainsty",https://www.theyworkforyou.com/mp/24878/nigel_adams/selby_and_ainsty
11929,Adam,Afriyie,Conservative,Windsor,https://www.theyworkforyou.com/mp/11929/adam_afriyie/windsor
10005,Bob,Ainsworth,Labour,"Coventry North East",https://www.theyworkforyou.com/mp/10005/bob_ainsworth/coventry_north_east
24904,Peter,Aldous,Conservative,Waveney,https://www.theyworkforyou.com/mp/24904/peter_aldous/waveney
11995,Danny,Alexander,"Liberal Democrat","Inverness, Nairn, Badenoch and Strathspey",https://www.theyworkforyou.com/mp/11995/danny_alexander/inverness%2C_nairn%2C_badenoch_and_strathspey
10661,Douglas,Alexander,Labour,"Paisley and Renfrewshire South",https://www.theyworkforyou.com/mp/10661/douglas_alexander/paisley_and_renfrewshire_south
24953,Heidi,Alexander,Labour,"Lewisham East",https://www.theyworkforyou.com/mp/24953/heidi_alexander/lewisham_east
24958,Rushanara,Ali,Labour,"Bethnal Green and Bow",https://www.theyworkforyou.com/mp/24958/rushanara_ali/bethnal_green_and_bow
10008,Graham,Allen,Labour,"Nottingham North",https://www.theyworkforyou.com/mp/10008/graham_allen/nottingham_north
10009,David,Amess,Conservative,"Southend West",https://www.theyworkforyou.com/mp/10009/sir_david_amess/southend_west
11427,David,Anderson,Labour,Blaydon,https://www.theyworkforyou.com/mp/11427/david_anderson/blaydon
24864,Stuart,Andrew,Conservative,Pudsey,https://www.theyworkforyou.com/mp/24864/stuart_andrew/pudsey
10013,James,Arbuthnot,Conservative,"North East Hampshire",https://www.theyworkforyou.com/mp/10013/james_arbuthnot/north_east_hampshire
11553,Ian,Austin,Labour,"Dudley North",https://www.theyworkforyou.com/mp/11553/ian_austin/dudley_north
10707,Richard,Bacon,Conservative,"South Norfolk",https://www.theyworkforyou.com/mp/10707/richard_bacon/south_norfolk
10683,Adrian,Bailey,Labour,"West Bromwich West",https://www.theyworkforyou.com/mp/10683/adrian_bailey/west_bromwich_west
24697,William,Bain,Labour,"Glasgow North East",https://www.theyworkforyou.com/mp/24697/william_bain/glasgow_north_east
10022,Norman,Baker,"Liberal Democrat",Lewes,https://www.theyworkforyou.com/mp/10022/norman_baker/lewes
24786,Steven,Baker,Conservative,Wycombe,https://www.theyworkforyou.com/mp/24786/steven_baker/wycombe
10023,Tony,Baldry,Conservative,Banbury,https://www.theyworkforyou.com/mp/10023/tony_baldry/banbury
24785,Harriett,Baldwin,Conservative,"West Worcestershire",https://www.theyworkforyou.com/mp/24785/harriett_baldwin/west_worcestershire
11740,Edward,Balls,Labour,"Morley and Outwood",https://www.theyworkforyou.com/mp/11740/edward_balls/morley_and_outwood
12005,Gordon,Banks,Labour,"Ochil and South Perthshire",https://www.theyworkforyou.com/mp/12005/gordon_banks/ochil_and_south_perthshire
24916,Steve,Barclay,Conservative,"North East Cambridgeshire",https://www.theyworkforyou.com/mp/24916/steve_barclay/north_east_cambridgeshire
10713,Gregory,Barker,Conservative,"Bexhill and Battle",https://www.theyworkforyou.com/mp/10713/gregory_barker/bexhill_and_battle
10715,John,Baron,Conservative,"Basildon and Billericay",https://www.theyworkforyou.com/mp/10715/john_baron/basildon_and_billericay
10027,Kevin,Barron,Labour,"Rother Valley",https://www.theyworkforyou.com/mp/10027/kevin_barron/rother_valley
24863,Gavin,Barwell,Conservative,"Croydon Central",https://www.theyworkforyou.com/mp/24863/gavin_barwell/croydon_central
10029,Hugh,Bayley,Labour,"York Central",https://www.theyworkforyou.com/mp/10029/hugh_bayley/york_central
24736,Guto,Bebb,Conservative,Aberconwy,https://www.theyworkforyou.com/mp/24736/guto_bebb/aberconwy
10031,Margaret,Beckett,Labour,"Derby South",https://www.theyworkforyou.com/mp/10031/margaret_beckett/derby_south
10032,Anne,Begg,Labour,"Aberdeen South",https://www.theyworkforyou.com/mp/10032/anne_begg/aberdeen_south
10034,Alan,Beith,"Liberal Democrat",Berwick-upon-Tweed,https://www.theyworkforyou.com/mp/10034/alan_beith/berwick-upon-tweed
10036,Stuart,Bell,Labour,Middlesbrough,https://www.theyworkforyou.com/mp/10036/stuart_bell/middlesbrough
10726,Henry,Bellingham,Conservative,"North West Norfolk",https://www.theyworkforyou.com/mp/10726/henry_bellingham/north_west_norfolk
10669,Hilary,Benn,Labour,"Leeds Central",https://www.theyworkforyou.com/mp/10669/hilary_benn/leeds_central
10039,Joe,Benton,Labour,Bootle,https://www.theyworkforyou.com/mp/10039/joe_benton/bootle
11727,Richard,Benyon,Conservative,Newbury,https://www.theyworkforyou.com/mp/11727/richard_benyon/newbury
10040,John,Bercow,Speaker,Buckingham,https://www.theyworkforyou.com/mp/10040/john_bercow/buckingham
10041,Paul,Beresford,Conservative,"Mole Valley",https://www.theyworkforyou.com/mp/10041/paul_beresford/mole_valley
24924,Luciana,Berger,Labour,"Liverpool, Wavertree",https://www.theyworkforyou.com/mp/24924/luciana_berger/liverpool%2C_wavertree
24860,Jake,Berry,Conservative,"Rossendale and Darwen",https://www.theyworkforyou.com/mp/24860/jake_berry/rossendale_and_darwen
10045,Clive,Betts,Labour,"Sheffield South East",https://www.theyworkforyou.com/mp/10045/clive_betts/sheffield_south_east
24748,Andrew,Bingham,Conservative,"High Peak",https://www.theyworkforyou.com/mp/24748/andrew_bingham/high_peak
11742,Brian,Binley,Conservative,"Northampton South",https://www.theyworkforyou.com/mp/11742/brian_binley/northampton_south
24793,Gordon,Birtwistle,"Liberal Democrat",Burnley,https://www.theyworkforyou.com/mp/24793/gordon_birtwistle/burnley
24945,Bob,Blackman,Conservative,"Harrow East",https://www.theyworkforyou.com/mp/24945/bob_blackman/harrow_east
11558,Roberta,Blackman-Woods,Labour,"City of Durham",https://www.theyworkforyou.com/mp/11558/roberta_blackman-woods/city_of_durham
24842,Nicola,Blackwood,Conservative,"Oxford West and Abingdon",https://www.theyworkforyou.com/mp/24842/nicola_blackwood/oxford_west_and_abingdon
10048,Hazel,Blears,Labour,"Salford and Eccles",https://www.theyworkforyou.com/mp/10048/hazel_blears/salford_and_eccles
24848,Tom,Blenkinsop,Labour,"Middlesbrough South and East Cleveland",https://www.theyworkforyou.com/mp/24848/tom_blenkinsop/middlesbrough_south_and_east_cleveland
24943,Paul,Blomfield,Labour,"Sheffield Central",https://www.theyworkforyou.com/mp/24943/paul_blomfield/sheffield_central
10050,David,Blunkett,Labour,"Sheffield, Brightside and Hillsborough",https://www.theyworkforyou.com/mp/10050/david_blunkett/sheffield%2C_brightside_and_hillsborough
10051,Crispin,Blunt,Conservative,Reigate,https://www.theyworkforyou.com/mp/10051/crispin_blunt/reigate
24766,Nicholas,Boles,Conservative,"Grantham and Stamford",https://www.theyworkforyou.com/mp/24766/nicholas_boles/grantham_and_stamford
11915,Peter,Bone,Conservative,Wellingborough,https://www.theyworkforyou.com/mp/11915/peter_bone/wellingborough
10057,Peter,Bottomley,Conservative,"Worthing West",https://www.theyworkforyou.com/mp/10057/peter_bottomley/worthing_west
24725,Karen,Bradley,Conservative,"Staffordshire Moorlands",https://www.theyworkforyou.com/mp/24725/karen_bradley/staffordshire_moorlands
10061,Ben,Bradshaw,Labour,Exeter,https://www.theyworkforyou.com/mp/10061/ben_bradshaw/exeter
10062,Graham,Brady,Conservative,"Altrincham and Sale West",https://www.theyworkforyou.com/mp/10062/graham_brady/altrincham_and_sale_west
